layer,pos,op,max_abs_diff,mean_abs_diff,mse,nrmse,rel_err_pct,dense_mean_abs,tq_mean_abs,note
0,1,q_normed,0.0,0.0,0.0,0.0,0.0,0.6505991220474243,0.6505991220474243,
0,1,k_normed,0.0,0.0,0.0,0.0,0.0,0.0754849761724472,0.0754849761724472,
0,1,v_normed,0.0,0.0,0.0,0.0,0.0,0.7386573553085327,0.7386573553085327,
0,1,sdpa_out,0.8441915512084961,0.05797000974416733,0.006037102080881596,0.1865960585753641,13.921677843669375,0.4164010286331177,0.42497119307518005,
0,5,q_normed,0.0,0.0,0.0,0.0,0.0,0.6214392185211182,0.6214392185211182,
0,5,k_normed,0.0,0.0,0.0,0.0,0.0,0.07136804610490799,0.07136804610490799,
0,5,v_normed,0.0,0.0,0.0,0.0,0.0,0.6903821229934692,0.6903821229934692,
0,5,sdpa_out,0.7733540534973145,0.05686505511403084,0.0059007443487644196,0.19064059684180254,14.11261369802854,0.40293779969215393,0.4117856025695801,
0,10,q_normed,0.0,0.0,0.0,0.0,0.0,0.6695637106895447,0.6695637106895447,
0,10,k_normed,0.0,0.0,0.0,0.0,0.0,0.07692717015743256,0.07692717015743256,
0,10,v_normed,0.0,0.0,0.0,0.0,0.0,0.745610237121582,0.745610237121582,
0,10,sdpa_out,1.0718727111816406,0.05905276536941528,0.006717345677316189,0.21960819602321632,15.82304034472494,0.3732074499130249,0.3775137662887573,
0,15,q_normed,0.0,0.0,0.0,0.0,0.0,0.6014797687530518,0.6014797687530518,
0,15,k_normed,0.0,0.0,0.0,0.0,0.0,0.07054952532052994,0.07054952532052994,
0,15,v_normed,0.0,0.0,0.0,0.0,0.0,0.5826679468154907,0.5826679468154907,
0,15,sdpa_out,0.8261773586273193,0.054553426802158356,0.0055999476462602615,0.23156653411819833,16.88129846542197,0.32315894961357117,0.32832038402557373,
0,20,q_normed,6.3335652351379395,0.630813717842102,0.7495549917221069,1.4303085807632006,104.21473361623231,0.6053018569946289,0.6486468315124512,
0,20,k_normed,0.5545525550842285,0.05462978780269623,0.005910641513764858,1.1113641164677295,78.97117029151963,0.06917687505483627,0.07537917792797089,
0,20,v_normed,12.670029640197754,0.9702661633491516,1.8223563432693481,2.3137479882735037,166.29924939171167,0.5834459066390991,0.7400718331336975,
0,20,sdpa_out,12.394609451293945,0.4293295443058014,0.5329124927520752,2.3279360309767507,136.90958911043998,0.31358617544174194,0.4020288586616516,
0,25,q_normed,3.759624481201172,0.5380059480667114,0.5291279554367065,1.1348268734990057,83.93369360174705,0.6409892439842224,0.6484277248382568,
0,25,k_normed,0.3049487769603729,0.049544088542461395,0.004426144994795322,0.8894427808412525,66.23644867013621,0.0747988298535347,0.07525745034217834,
0,25,v_normed,4.073026180267334,0.8766819834709167,1.2528817653656006,1.6467781559830583,128.9799293971976,0.6797041893005371,0.7303100824356079,
0,25,sdpa_out,6.541030406951904,0.4153410792350769,0.4341472089290619,1.6411002026934711,103.44785250728427,0.401498019695282,0.3520612120628357,
0,30,q_normed,0.0,0.0,0.0,0.0,0.0,0.593889594078064,0.593889594078064,
0,30,k_normed,0.0,0.0,0.0,0.0,0.0,0.06827211380004883,0.06827211380004883,
0,30,v_normed,0.0,0.0,0.0,0.0,0.0,0.6306878328323364,0.6306878328323364,
0,30,sdpa_out,6.929942607879639,0.251809298992157,0.22270861268043518,1.4756906398213638,78.74057471442197,0.3197961151599884,0.3142247200012207,
1,1,q_normed,0.15624046325683594,0.019687671214342117,0.0006664812681265175,0.03508838178382759,2.6758620104376787,0.7357506155967712,0.7378191351890564,
1,1,k_normed,0.012565907090902328,0.001539063872769475,4.233161234878935e-06,0.024213037981899003,1.8112296623004505,0.08497342467308044,0.08499142527580261,
1,1,v_normed,0.14357662200927734,0.02216706983745098,0.0008343670051544905,0.03799144259466289,2.9155165657608686,0.7603136301040649,0.7622896432876587,
1,1,sdpa_out,0.9811081886291504,0.0503084659576416,0.004822819959372282,0.23880904611194104,17.299809617916953,0.29080358147621155,0.29302701354026794,
1,5,q_normed,0.33083009719848633,0.03165389224886894,0.0017567198956385255,0.057306035750953284,4.327890120892242,0.7313931584358215,0.7342535853385925,
1,5,k_normed,0.02189120650291443,0.002156720496714115,9.036250048666261e-06,0.03678582001964587,2.6392479162966413,0.08171723783016205,0.08179236948490143,
1,5,v_normed,0.20359766483306885,0.0309949591755867,0.0015735623892396688,0.05848053998888936,4.569413489157266,0.6783137321472168,0.6786272525787354,
1,5,sdpa_out,0.6910390853881836,0.05275910347700119,0.005480577237904072,0.24728636734905246,17.623186228643736,0.29937323927879333,0.3045283555984497,
1,10,q_normed,0.1792246699333191,0.032606977969408035,0.0017948300810530782,0.060258585029135676,4.637861868845826,0.7030605673789978,0.7047861218452454,
1,10,k_normed,0.025169886648654938,0.002516373060643673,1.2467924534576014e-05,0.0420082447651614,2.9937289729997874,0.08405480533838272,0.08392295241355896,
1,10,v_normed,0.2956972122192383,0.04005323722958565,0.0028352404478937387,0.07190762909510114,5.409008258854231,0.7404913306236267,0.740889847278595,
1,10,sdpa_out,1.7748639583587646,0.05296975374221802,0.006838871631771326,0.3035533697522365,19.443336223812352,0.2724314033985138,0.26854363083839417,
1,15,q_normed,0.2473238706588745,0.04246027022600174,0.0030650636181235313,0.07933752830352053,6.084735066163878,0.6978162527084351,0.695874810218811,
1,15,k_normed,0.03198317065834999,0.0035341253969818354,2.249429962830618e-05,0.059125485838920674,4.4057559813658305,0.08021609485149384,0.08004675805568695,
1,15,v_normed,0.42396485805511475,0.05989924818277359,0.0068016559816896915,0.13313384430681088,9.669466497844287,0.6194679737091064,0.6164170503616333,
1,15,sdpa_out,0.840721845626831,0.05605703592300415,0.005822132807224989,0.24802230527805227,18.22131919972874,0.307645320892334,0.3117201626300812,
1,20,q_normed,4.388530731201172,0.6614090204238892,0.7596404552459717,1.260286740471407,95.63909061591434,0.6915676593780518,0.7037442922592163,
1,20,k_normed,0.8438184261322021,0.055811166763305664,0.006828291341662407,1.1718561021495726,79.14789450171178,0.07051503658294678,0.08200493454933167,
1,20,v_normed,22.469409942626953,0.8240213990211487,1.7894902229309082,2.9577717088722237,182.19584796511,0.45227232575416565,0.6909440755844116,
