layer,op,head,pos,max_abs_diff,nrmse
0,k,7,0,0.036816,0.093403
0,k,7,1,0.033976,0.086489
0,k,7,2,0.042225,0.089430
0,k,7,3,0.032807,0.087533
0,k,7,4,0.035011,0.097484
0,k,7,5,0.037661,0.093320
0,k,7,6,0.037142,0.093676
0,k,7,7,0.032934,0.089426
0,k,7,8,0.035263,0.103318
0,k,7,9,0.037950,0.098517
0,k,7,10,0.032088,0.093970
0,k,7,11,0.042066,0.114175
0,k,7,12,0.030280,0.091059
0,k,7,13,0.031767,0.092234
0,k,7,14,0.034514,0.096588
0,k,7,15,0.036505,0.096388
0,k,7,16,0.036665,0.091708
0,k,7,17,0.033667,0.091647
0,k,7,18,0.037309,0.085136
0,k,7,19,0.031186,0.086962
0,k,7,20,0.038861,0.092124
0,k,7,21,0.030563,0.086974
0,v,0,0,0.262499,0.088457
0,v,0,1,0.271307,0.088697
0,v,0,2,0.267878,0.094852
0,v,0,3,0.265464,0.089200
0,v,0,4,0.294351,0.092053
0,v,0,5,0.335032,0.099639
0,v,0,6,0.293958,0.093820
0,v,0,7,0.296560,0.093354
0,v,0,8,0.273107,0.091365
0,v,0,9,0.303620,0.094800
0,v,0,10,0.261289,0.100080
0,v,0,11,0.293068,0.093783
0,v,0,12,0.262909,0.094035
0,v,0,13,0.301552,0.089800
0,v,0,14,0.265464,0.089200
0,v,0,15,0.271307,0.088697
0,v,0,16,0.272161,0.091324
0,v,0,17,0.265464,0.089200
0,v,0,18,0.250755,0.094246
0,v,0,19,0.268250,0.095373
0,v,0,20,0.265464,0.089200
0,v,0,21,0.367722,0.125411
0,v,1,0,0.249197,0.088769
0,v,1,1,0.334409,0.098092
0,v,1,2,0.308320,0.089601
0,v,1,3,0.272132,0.091932
0,v,1,4,0.293666,0.095557
0,v,1,5,0.295875,0.097399
0,v,1,6,0.267211,0.090534
0,v,1,7,0.376328,0.093945
0,v,1,8,0.287928,0.096258
0,v,1,9,0.245927,0.088131
0,v,1,10,0.292570,0.093984
0,v,1,11,0.307462,0.092110
0,v,1,12,0.287918,0.090159
0,v,1,13,0.316105,0.093425
0,v,1,14,0.272132,0.091932
0,v,1,15,0.334409,0.098092
0,v,1,16,0.339425,0.090977
0,v,1,17,0.272132,0.091932
0,v,1,18,0.271467,0.100461
0,v,1,19,0.293835,0.092550
0,v,1,20,0.272132,0.091932
0,v,1,21,0.320234,0.097275
0,v,2,0,0.328624,0.095075
0,v,2,1,0.277123,0.092141
0,v,2,2,0.323546,0.095236
0,v,2,3,0.296881,0.092801
0,v,2,4,0.373406,0.111032
0,v,2,5,0.334479,0.100343
0,v,2,6,0.306611,0.093316
0,v,2,7,0.265452,0.097104
0,v,2,8,0.240506,0.090868
0,v,2,9,0.309069,0.097587
0,v,2,10,0.278636,0.098969
0,v,2,11,0.303106,0.093072
0,v,2,12,0.332336,0.104586
0,v,2,13,0.309119,0.094025
0,v,2,14,0.296881,0.092801
0,v,2,15,0.277123,0.092141
0,v,2,16,0.287054,0.096917
0,v,2,17,0.296881,0.092801
0,v,2,18,0.320340,0.099064
0,v,2,19,0.397799,0.119690
0,v,2,20,0.296881,0.092801
0,v,2,21,0.280872,0.093012
0,v,3,0,0.297051,0.092787
0,v,3,1,0.280441,0.095708
0,v,3,2,0.290766,0.094238
0,v,3,3,0.239229,0.089058
0,v,3,4,0.278725,0.099643
0,v,3,5,0.264284,0.091103
0,v,3,6,0.283440,0.095448
0,v,3,7,0.260798,0.097090
0,v,3,8,0.270806,0.097263
0,v,3,9,0.408404,0.094897
0,v,3,10,0.308500,0.096246
0,v,3,11,0.273123,0.098083
